"","NOC","Medal","Year","Sport","Event","City"
"13808","USA","Gold",2012,"Swimming","Swimming Women's 200 metres Breaststroke","London"
"13809","THA","Bronze",2012,"Taekwondo","Taekwondo Women's Flyweight","London"
"13810","JPN","Gold",1976,"Judo","Judo Men's Middleweight","Montreal"
"13811","HUN","Bronze",1932,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Los Angeles"
"13812","CUB","Silver",1976,"Boxing","Boxing Men's Light-Heavyweight","Montreal"
"13813","URS","Bronze",1964,"Boxing","Boxing Men's Flyweight","Tokyo"
"13814","UKR","Bronze",2000,"Diving","Diving Women's Synchronized Springboard","Sydney"
"13815","RUS","Bronze",2012,"Badminton","Badminton Women's Doubles","London"
"13816","MGL","Bronze",2012,"Wrestling","Wrestling Women's Middleweight, Freestyle","London"
"13817","GBR","Bronze",2004,"Athletics","Athletics Women's Heptathlon","Athina"
"13818","CUB","Gold",1992,"Athletics","Athletics Men's High Jump","Barcelona"
"13819","CUB","Silver",2000,"Athletics","Athletics Men's High Jump","Sydney"
"13820","AZE","Silver",2016,"Boxing","Boxing Men's Light-Welterweight","Rio de Janeiro"
"13821","JPN","Bronze",1984,"Gymnastics","Gymnastics Men's Floor Exercise","Los Angeles"
"13822","TCH","Bronze",1948,"Gymnastics","Gymnastics Men's Horse Vault","London"
"13823","IRI","Gold",2012,"Wrestling","Wrestling Men's Featherweight, Greco-Roman","London"
"13824","GBR","Silver",1928,"Cycling","Cycling Men's Road Race, Individual","Amsterdam"
"13825","GBR","Bronze",1928,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Amsterdam"
"13826","USA","Silver",1956,"Athletics","Athletics Men's 400 metres Hurdles","Melbourne"
"13827","FRA","Silver",2008,"Boxing","Boxing Men's Lightweight","Beijing"
"13828","DEN","Bronze",1956,"Canoeing","Canoeing Women's Kayak Singles, 500 metres","Melbourne"
"13829","DEN","Bronze",1936,"Swimming","Swimming Women's 200 metres Breaststroke","Berlin"
"13830","DEN","Silver",1996,"Cycling","Cycling Men's Road Race, Individual","Atlanta"
"13831","NOR","Silver",1920,"Boxing","Boxing Men's Light-Heavyweight","Antwerpen"
"13832","NOR","Bronze",1924,"Boxing","Boxing Men's Light-Heavyweight","Paris"
"13833","ITA","Bronze",1956,"Fencing","Fencing Men's Foil, Individual","Melbourne"
"13834","SWE","Bronze",1908,"Diving","Diving Men's Platform","London"
"13835","USA","Gold",1904,"Boxing","Boxing Men's Lightweight","St. Louis"
"13836","USA","Silver",1904,"Boxing","Boxing Men's Welterweight","St. Louis"
"13837","SRB","Bronze",2016,"Athletics","Athletics Women's Long Jump","Rio de Janeiro"
"13838","BEL","Silver",1928,"Wrestling","Wrestling Men's Bantamweight, Freestyle","Amsterdam"
"13839","ITA","Silver",1912,"Fencing","Fencing Men's Foil, Individual","Stockholm"
"13840","GBR","Bronze",1984,"Athletics","Athletics Men's Marathon","Los Angeles"
"13841","USA","Gold",1948,"Weightlifting","Weightlifting Men's Middleweight","London"
"13842","USA","Gold",1924,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Paris"
"13843","RSA","Bronze",1960,"Athletics","Athletics Men's 400 metres","Roma"
"13844","USA","Bronze",2016,"Athletics","Athletics Women's 400 metres Hurdles","Rio de Janeiro"
"13845","GBR","Bronze",1908,"Athletics","Athletics Men's 10 mile Walk","London"
"13846","FRG","Silver",1988,"Shooting","Shooting Women's Air Rifle, 10 metres","Seoul"
"13847","FRG","Gold",1988,"Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Seoul"
"13848","GER","Silver",1928,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","Amsterdam"
"13849","GER","Bronze",1932,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","Los Angeles"
"13850","GRE","Bronze",1906,"Athletics","Athletics Men's 1,500 metres Walk","Athina"
"13851","NED","Bronze",1988,"Judo","Judo Men's Middleweight","Seoul"
"13852","GBR","Silver",1908,"Boxing","Boxing Men's Lightweight","London"
"13853","SUI","Silver",1960,"Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres","Roma"
"13854","USA","Gold",1976,"Boxing","Boxing Men's Light-Heavyweight","Montreal"
"13855","USA","Gold",1976,"Boxing","Boxing Men's Middleweight","Montreal"
"13856","GBR","Gold",1956,"Boxing","Boxing Men's Flyweight","Melbourne"
"13857","SUI","Bronze",1904,"Gymnastics","Gymnastics Men's Individual All-Around","St. Louis"
"13858","SUI","Gold",1904,"Gymnastics","Gymnastics Men's Individual All-Around, Apparatus Work","St. Louis"
"13859","URS","Silver",1976,"Athletics","Athletics Men's Hammer Throw","Montreal"
"13860","SUI","Gold",2012,"Triathlon","Triathlon Women's Olympic Distance","London"
"13861","SUI","Silver",2016,"Triathlon","Triathlon Women's Olympic Distance","Rio de Janeiro"
"13862","URS","Gold",1956,"Athletics","Athletics Men's 20 kilometres Walk","Melbourne"
"13863","GER","Bronze",1996,"Judo","Judo Men's Middleweight","Atlanta"
"13864","USA","Bronze",1968,"Swimming","Swimming Men's 100 metres Freestyle","Mexico City"
"13865","USA","Silver",1968,"Swimming","Swimming Men's 100 metres Butterfly","Mexico City"
"13866","USA","Gold",1972,"Swimming","Swimming Men's 100 metres Freestyle","Munich"
"13867","USA","Gold",1972,"Swimming","Swimming Men's 200 metres Freestyle","Munich"
"13868","USA","Gold",1972,"Swimming","Swimming Men's 100 metres Butterfly","Munich"
"13869","USA","Gold",1972,"Swimming","Swimming Men's 200 metres Butterfly","Munich"
"13870","GER","Bronze",2004,"Cycling","Cycling Women's Mountainbike, Cross-Country","Athina"
"13871","GER","Gold",2008,"Cycling","Cycling Women's Mountainbike, Cross-Country","Beijing"
"13872","GER","Silver",2012,"Cycling","Cycling Women's Mountainbike, Cross-Country","London"
"13873","USA","Bronze",1920,"Shooting","Shooting Men's Military Rifle, Prone, 600 metres","Antwerpen"
"13874","CZE","Gold",2008,"Athletics","Athletics Women's Javelin Throw","Beijing"
"13875","CZE","Gold",2012,"Athletics","Athletics Women's Javelin Throw","London"
"13876","CZE","Bronze",2016,"Athletics","Athletics Women's Javelin Throw","Rio de Janeiro"
"13877","USA","Silver",1904,"Boxing","Boxing Men's Middleweight","St. Louis"
"13878","AUS","Silver",2012,"Swimming","Swimming Men's 100 metres Breaststroke","London"
"13879","USA","Gold",1984,"Shooting","Shooting Women's Air Rifle, 10 metres","Los Angeles"
"13880","FRA","Gold",1992,"Fencing","Fencing Men's epee, Individual","Barcelona"
"13881","THA","Gold",2016,"Weightlifting","Weightlifting Women's Lightweight","Rio de Janeiro"
"13882","AZE","Gold",2012,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","London"
"13883","AZE","Bronze",2016,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Rio de Janeiro"
"13884","AZE","Bronze",2016,"Wrestling","Wrestling Men's Super-Heavyweight, Greco-Roman","Rio de Janeiro"
"13885","USA","Gold",1948,"Swimming","Swimming Men's 100 metres Backstroke","London"
"13886","AUT","Silver",1924,"Weightlifting","Weightlifting Men's Featherweight","Paris"
"13887","USA","Silver",1904,"Athletics","Athletics Men's Standing High Jump","St. Louis"
"13888","USA","Bronze",1904,"Athletics","Athletics Men's Standing Triple Jump","St. Louis"
"13889","UKR","Silver",2008,"Wrestling","Wrestling Men's Welterweight, Freestyle","Beijing"
"13890","AZE","Bronze",2008,"Wrestling","Wrestling Women's Flyweight, Freestyle","Beijing"
"13891","AZE","Silver",2012,"Wrestling","Wrestling Women's Flyweight, Freestyle","London"
"13892","AZE","Silver",2016,"Wrestling","Wrestling Women's Flyweight, Freestyle","Rio de Janeiro"
"13893","SUI","Bronze",1900,"Shooting","Shooting Men's Free Pistol, 50 metres","Paris"
"13894","SUI","Gold",1900,"Shooting","Shooting Men's Free Rifle, Kneeling, 300 metres","Paris"
"13895","SUI","Silver",1906,"Shooting","Shooting Men's Free Rifle, Any Position, 300 metres","Athina"
"13896","GER","Bronze",2012,"Athletics","Athletics Women's Javelin Throw","London"
"13897","GDR","Silver",1988,"Canoeing","Canoeing Men's Kayak Singles, 500 metres","Seoul"
"13898","ROU","Silver",1984,"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Individual","Los Angeles"
"13899","SUI","Gold",1948,"Gymnastics","Gymnastics Men's Horizontal Bar","London"
"13900","SUI","Bronze",1952,"Gymnastics","Gymnastics Men's Individual All-Around","Helsinki"
"13901","SUI","Bronze",1952,"Gymnastics","Gymnastics Men's Parallel Bars","Helsinki"
"13902","SUI","Silver",1952,"Gymnastics","Gymnastics Men's Horizontal Bar","Helsinki"
"13903","GBR","Bronze",1924,"Athletics","Athletics Men's 1,500 metres","Paris"
"13904","NED","Gold",1984,"Athletics","Athletics Women's Discus Throw","Los Angeles"
"13905","USA","Silver",1972,"Swimming","Swimming Men's 100 metres Backstroke","Munich"
"13906","USA","Silver",1972,"Swimming","Swimming Men's 200 metres Backstroke","Munich"
"13907","BUL","Gold",1956,"Wrestling","Wrestling Men's Middleweight, Freestyle","Melbourne"
"13908","ROU","Gold",1984,"Athletics","Athletics Women's Long Jump","Los Angeles"
"13909","USA","Gold",1948,"Weightlifting","Weightlifting Men's Light-Heavyweight","London"
"13910","USA","Silver",1952,"Weightlifting","Weightlifting Men's Light-Heavyweight","Helsinki"
"13911","USA","Gold",1952,"Athletics","Athletics Men's 200 metres","Helsinki"
"13912","USA","Silver",1956,"Athletics","Athletics Men's 200 metres","Melbourne"
"13913","USA","Bronze",1904,"Athletics","Athletics Men's Long Jump","St. Louis"
"13914","USA","Bronze",1904,"Athletics","Athletics Men's Triple Jump","St. Louis"
"13915","USA","Bronze",1948,"Athletics","Athletics Men's High Jump","London"
"13916","BUL","Bronze",1968,"Boxing","Boxing Men's Light-Heavyweight","Mexico City"
"13917","GBR","Silver",1972,"Judo","Judo Men's Half-Heavyweight","Munich"
"13918","GBR","Bronze",1976,"Judo","Judo Men's Half-Heavyweight","Montreal"
"13919","GBR","Silver",1988,"Equestrianism","Equestrianism Mixed Three-Day Event, Individual","Seoul"
"13920","URS","Gold",1980,"Modern Pentathlon","Modern Pentathlon Men's Individual","Moskva"
"13921","EUN","Silver",1992,"Modern Pentathlon","Modern Pentathlon Men's Team","Barcelona"
"13922","USA","Silver",1952,"Swimming","Swimming Men's 200 metres Breaststroke","Helsinki"
"13923","USA","Silver",1964,"Sailing","Sailing Mixed Two Person Keelboat","Tokyo"
"13924","ITA","Gold",1984,"Boxing","Boxing Men's Bantamweight","Los Angeles"
"13925","GDR","Gold",1972,"Athletics","Athletics Women's 100 metres","Munich"
"13926","GDR","Gold",1972,"Athletics","Athletics Women's 200 metres","Munich"
"13927","GDR","Silver",1976,"Athletics","Athletics Women's 100 metres","Montreal"
"13928","GDR","Bronze",1976,"Athletics","Athletics Women's 200 metres","Montreal"
"13929","POL","Silver",1980,"Wrestling","Wrestling Men's Flyweight, Freestyle","Moskva"
"13930","USA","Gold",1924,"Wrestling","Wrestling Men's Heavyweight, Freestyle","Paris"
"13931","USA","Silver",1984,"Sailing","Sailing Men's Windsurfer","Los Angeles"
"13932","USA","Gold",1948,"Athletics","Athletics Men's Long Jump","London"
"13933","CAN","Bronze",1988,"Athletics","Athletics Men's Decathlon","Seoul"
"13934","SRB","Gold",2016,"Wrestling","Wrestling Men's Welterweight, Greco-Roman","Rio de Janeiro"
"13935","GRE","Gold",2016,"Athletics","Athletics Women's Pole Vault","Rio de Janeiro"
"13936","SVK","Silver",2008,"Shooting","Shooting Women's Trap","Beijing"
"13937","SVK","Silver",2012,"Shooting","Shooting Women's Trap","London"
"13938","GER","Gold",2008,"Swimming","Swimming Women's 50 metres Freestyle","Beijing"
"13939","GER","Gold",2008,"Swimming","Swimming Women's 100 metres Freestyle","Beijing"
"13940","GER","Bronze",2004,"Trampolining","Trampolining Men's Individual","Athina"
"13941","AUT","Gold",1906,"Weightlifting","Weightlifting Men's Unlimited, One Hand","Athina"
"13942","AUT","Silver",1906,"Weightlifting","Weightlifting Men's Unlimited, Two Hands","Athina"
"13943","GDR","Bronze",1968,"Swimming","Swimming Women's 400 metres Individual Medley","Mexico City"
"13944","EST","Bronze",1924,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","Paris"
"13945","GER","Gold",2008,"Weightlifting","Weightlifting Men's Super-Heavyweight","Beijing"
"13946","SUI","Bronze",2016,"Gymnastics","Gymnastics Women's Horse Vault","Rio de Janeiro"
"13947","GDR","Silver",1988,"Weightlifting","Weightlifting Men's Middleweight","Seoul"
"13948","USA","Gold",1968,"Equestrianism","Equestrianism Mixed Jumping, Individual","Mexico City"
"13949","GDR","Bronze",1988,"Swimming","Swimming Women's 200 metres Freestyle","Seoul"
"13950","SWE","Gold",1920,"Cycling","Cycling Men's Road Race, Individual","Antwerpen"
"13951","FIN","Bronze",1912,"Athletics","Athletics Men's 10,000 metres","Stockholm"
"13952","FIN","Gold",1924,"Athletics","Athletics Men's Marathon","Paris"
"13953","SWE","Silver",2016,"Golf","Golf Men's Individual","Rio de Janeiro"
"13954","NOR","Silver",1992,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Barcelona"
"13955","NOR","Bronze",2000,"Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Sydney"
"13956","CZE","Bronze",2004,"Canoeing","Canoeing Men's Canadian Doubles, Slalom","Athina"
"13957","CZE","Silver",2008,"Canoeing","Canoeing Men's Canadian Doubles, Slalom","Beijing"
"13958","URS","Silver",1956,"Weightlifting","Weightlifting Men's Light-Heavyweight","Melbourne"
"13959","URS","Gold",1964,"Boxing","Boxing Men's Featherweight","Tokyo"
"13960","USA","Gold",1936,"Athletics","Athletics Women's 100 metres","Berlin"
"13961","POL","Silver",1992,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","Barcelona"
"13962","EST","Silver",1936,"Boxing","Boxing Men's Lightweight","Berlin"
"13963","BEL","Silver",1960,"Cycling","Cycling Men's Sprint","Roma"
"13964","USA","Bronze",1988,"Swimming","Swimming Women's 50 metres Freestyle","Seoul"
"13965","GER","Silver",1936,"Athletics","Athletics Women's 80 metres Hurdles","Berlin"
"13966","RSA","Gold",1932,"Boxing","Boxing Men's Lightweight","Los Angeles"
"13967","GBR","Silver",1992,"Judo","Judo Men's Half-Heavyweight","Barcelona"
"13968","USA","Silver",2016,"Judo","Judo Men's Half-Middleweight","Rio de Janeiro"
"13969","GBR","Bronze",2008,"Taekwondo","Taekwondo Women's Heavyweight","Beijing"
"13970","USA","Silver",2016,"Boxing","Boxing Men's Bantamweight","Rio de Janeiro"
"13971","CUB","Gold",1972,"Boxing","Boxing Men's Heavyweight","Munich"
"13972","CUB","Gold",1976,"Boxing","Boxing Men's Heavyweight","Montreal"
"13973","CUB","Gold",1980,"Boxing","Boxing Men's Heavyweight","Moskva"
"13974","USA","Silver",2004,"Athletics","Athletics Men's Pole Vault","Athina"
"13975","GBR","Bronze",1960,"Swimming","Swimming Women's 100 metres Freestyle","Roma"
"13976","GBR","Silver",1960,"Swimming","Swimming Women's 100 metres Backstroke","Roma"
"13977","GBR","Bronze",1912,"Shooting","Shooting Men's Free Pistol, 50 metres","Stockholm"
"13978","GBR","Bronze",1988,"Judo","Judo Men's Half-Heavyweight","Seoul"
"13979","GBR","Bronze",1972,"Athletics","Athletics Men's 5,000 metres","Munich"
"13980","NZL","Bronze",1952,"Swimming","Swimming Women's 100 metres Backstroke","Helsinki"
"13981","JAM","Bronze",2008,"Athletics","Athletics Women's 200 metres","Beijing"
"13982","USA","Gold",1992,"Swimming","Swimming Men's 200 metres Butterfly","Barcelona"
"13983","BEL","Bronze",1928,"Boxing","Boxing Men's Middleweight","Amsterdam"
"13984","USA","Bronze",1964,"Swimming","Swimming Women's 400 metres Freestyle","Tokyo"
"13985","NZL","Silver",1932,"Rowing","Rowing Men's Coxless Pairs","Los Angeles"
"13986","CRO","Silver",2016,"Sailing","Sailing Men's One Person Dinghy","Rio de Janeiro"
"13987","USA","Silver",1984,"Equestrianism","Equestrianism Mixed Three-Day Event, Individual","Los Angeles"
"13988","NOR","Bronze",1920,"Figure Skating","Figure Skating Men's Singles","Antwerpen"
"13989","GER","Bronze",1936,"Athletics","Athletics Men's Shot Put","Berlin"
"13990","GER","Gold",1936,"Athletics","Athletics Men's Javelin Throw","Berlin"
"13991","SUI","Silver",1948,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","London"
"13992","CAN","Silver",1928,"Wrestling","Wrestling Men's Middleweight, Freestyle","Amsterdam"
"13993","AUS","Silver",1984,"Swimming","Swimming Men's 100 metres Freestyle","Los Angeles"
"13994","AUS","Bronze",2008,"Swimming","Swimming Men's 100 metres Backstroke","Beijing"
"13995","BUL","Bronze",1972,"Athletics","Athletics Women's Discus Throw","Munich"
"13996","URS","Silver",1956,"Weightlifting","Weightlifting Men's Bantamweight","Melbourne"
"13997","GDR","Silver",1988,"Judo","Judo Men's Heavyweight","Seoul"
"13998","AUT","Bronze",1936,"Art Competitions","Art Competitions Mixed Literature, Lyric Works","Berlin"
"13999","GDR","Silver",1980,"Athletics","Athletics Women's 1,500 metres","Moskva"
"14000","USA","Silver",2016,"Rowing","Rowing Women's Single Sculls","Rio de Janeiro"
"14001","USA","Bronze",1972,"Athletics","Athletics Men's High Jump","Munich"
"14002","USA","Bronze",1976,"Athletics","Athletics Men's High Jump","Montreal"
"14003","UKR","Bronze",2004,"Athletics","Athletics Women's High Jump","Athina"
"14004","RSA","Silver",2000,"Athletics","Athletics Women's High Jump","Sydney"
"14005","RSA","Silver",2004,"Athletics","Athletics Women's High Jump","Athina"
"14006","GER","Silver",1952,"Athletics","Athletics Men's Hammer Throw","Helsinki"
"14007","GER","Bronze",1936,"Diving","Diving Men's Platform","Berlin"
"14008","GER","Silver",2012,"Athletics","Athletics Men's Shot Put","London"
"14009","BEL","Silver",1908,"Shooting","Shooting Men's Free Pistol, 50 yards","London"
"14010","USA","Silver",1964,"Swimming","Swimming Women's 100 metres Freestyle","Tokyo"
"14011","USA","Gold",1964,"Swimming","Swimming Women's 100 metres Butterfly","Tokyo"
"14012","USA","Bronze",1952,"Diving","Diving Women's Platform","Helsinki"
"14013","USA","Silver",1956,"Diving","Diving Women's Platform","Melbourne"
"14014","BUL","Silver",1976,"Weightlifting","Weightlifting Men's Light-Heavyweight","Montreal"
"14015","USA","Gold",1976,"Swimming","Swimming Men's 400 metres Individual Medley","Montreal"
"14016","ITA","Silver",1948,"Art Competitions","Art Competitions Mixed Painting, Paintings","London"
"14017","URS","Silver",1972,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Munich"
"14018","SWE","Silver",1948,"Athletics","Athletics Men's 1,500 metres","London"
"14019","GER","Gold",1928,"Weightlifting","Weightlifting Men's Heavyweight","Amsterdam"
"14020","GER","Bronze",1932,"Weightlifting","Weightlifting Men's Heavyweight","Los Angeles"
"14021","GDR","Silver",1980,"Athletics","Athletics Men's 1,500 metres","Moskva"
"14022","GDR","Silver",1988,"Swimming","Swimming Women's 800 metres Freestyle","Seoul"
"14023","FRG","Bronze",1976,"Rowing","Rowing Men's Coxless Pairs","Montreal"
"14024","USA","Bronze",1904,"Wrestling","Wrestling Men's Bantamweight, Freestyle","St. Louis"
"14025","USA","Silver",1904,"Roque","Roque Men's Singles","St. Louis"
"14026","BLR","Silver",2016,"Weightlifting","Weightlifting Men's Middle-Heavyweight","Rio de Janeiro"
"14027","AUS","Bronze",1948,"Athletics","Athletics Women's 100 metres","London"
"14028","AUS","Bronze",1948,"Athletics","Athletics Women's 80 metres Hurdles","London"
"14029","AUS","Bronze",1952,"Athletics","Athletics Women's 100 metres","Helsinki"
