"","NOC","Medal","Year","Sport","Event","City"
"13738","USA","Gold",1924,"Diving","Diving Women's Plain High","Paris"
"13739","CAN","Bronze",1928,"Athletics","Athletics Women's 100 metres","Amsterdam"
"13740","GBR","Bronze",1996,"Swimming","Swimming Men's 1,500 metres Freestyle","Atlanta"
"13741","USA","Gold",1948,"Athletics","Athletics Men's Pole Vault","London"
"13742","USA","Silver",1932,"Diving","Diving Men's Springboard","Los Angeles"
"13743","USA","Gold",1932,"Diving","Diving Men's Platform","Los Angeles"
"13744","USA","Gold",1988,"Wrestling","Wrestling Men's Featherweight, Freestyle","Seoul"
"13745","USA","Gold",1992,"Wrestling","Wrestling Men's Featherweight, Freestyle","Barcelona"
"13746","USA","Bronze",2016,"Swimming","Swimming Women's 400 metres Freestyle","Rio de Janeiro"
"13747","GBR","Bronze",2008,"Gymnastics","Gymnastics Men's Pommelled Horse","Beijing"
"13748","GBR","Silver",2012,"Gymnastics","Gymnastics Men's Pommelled Horse","London"
"13749","GBR","Silver",2016,"Gymnastics","Gymnastics Men's Pommelled Horse","Rio de Janeiro"
"13750","IRL","Gold",1996,"Swimming","Swimming Women's 400 metres Freestyle","Atlanta"
"13751","IRL","Bronze",1996,"Swimming","Swimming Women's 200 metres Butterfly","Atlanta"
"13752","IRL","Gold",1996,"Swimming","Swimming Women's 200 metres Individual Medley","Atlanta"
"13753","IRL","Gold",1996,"Swimming","Swimming Women's 400 metres Individual Medley","Atlanta"
"13754","USA","Bronze",1992,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","Barcelona"
"13755","CAN","Bronze",1976,"Swimming","Swimming Women's 400 metres Freestyle","Montreal"
"13756","GBR","Bronze",1996,"Athletics","Athletics Men's High Jump","Atlanta"
"13757","USA","Gold",1968,"Athletics","Athletics Men's 200 metres","Mexico City"
"13758","RSA","Gold",1924,"Boxing","Boxing Men's Bantamweight","Paris"
"13759","USA","Gold",1908,"Athletics","Athletics Men's 110 metres Hurdles","London"
"13760","NED","Bronze",2012,"Cycling","Cycling Women's BMX","London"
"13761","AUS","Bronze",1988,"Tennis","Tennis Women's Doubles","Seoul"
"13762","URS","Gold",1980,"Fencing","Fencing Men's Foil, Individual","Moskva"
"13763","NZL","Gold",1960,"Athletics","Athletics Men's 800 metres","Roma"
"13764","NZL","Gold",1964,"Athletics","Athletics Men's 800 metres","Tokyo"
"13765","NZL","Gold",1964,"Athletics","Athletics Men's 1,500 metres","Tokyo"
"13766","AUS","Gold",2008,"Triathlon","Triathlon Women's Olympic Distance","Beijing"
"13767","USA","Gold",2016,"Wrestling","Wrestling Men's Heavyweight, Freestyle","Rio de Janeiro"
"13768","UZB","Bronze",2008,"Judo","Judo Men's Extra-Lightweight","Beijing"
"13769","UZB","Bronze",2012,"Judo","Judo Men's Extra-Lightweight","London"
"13770","UZB","Bronze",2016,"Judo","Judo Men's Half-Lightweight","Rio de Janeiro"
"13771","ROU","Silver",1984,"Weightlifting","Weightlifting Men's Lightweight","Los Angeles"
"13772","SWE","Silver",1906,"Athletics","Athletics Men's Pole Vault","Athina"
"13773","SWE","Bronze",1906,"Athletics","Athletics Men's Javelin Throw, Freestyle","Athina"
"13774","SWE","Bronze",1908,"Athletics","Athletics Men's Pole Vault","London"
"13775","BUL","Bronze",1988,"Wrestling","Wrestling Men's Welterweight, Freestyle","Seoul"
"13776","ROU","Silver",2004,"Gymnastics","Gymnastics Women's Floor Exercise","Athina"
"13777","USA","Bronze",1948,"Swimming","Swimming Men's 200 metres Breaststroke","London"
"13778","KEN","Bronze",2008,"Athletics","Athletics Men's 5,000 metres","Beijing"
"13779","URS","Gold",1980,"Shooting","Shooting Mixed Running Target, 50 metres","Moskva"
"13780","URS","Silver",1960,"Athletics","Athletics Men's 3,000 metres Steeplechase","Roma"
"13781","URS","Gold",1968,"Boxing","Boxing Men's Bantamweight","Mexico City"
"13782","RUS","Silver",2012,"Athletics","Athletics Women's Long Jump","London"
"13783","NOR","Bronze",1996,"Athletics","Athletics Women's Javelin Throw","Atlanta"
"13784","NOR","Gold",2000,"Athletics","Athletics Women's Javelin Throw","Sydney"
"13785","URS","Silver",1972,"Athletics","Athletics Men's 50 kilometres Walk","Munich"
"13786","ESP","Bronze",1996,"Judo","Judo Women's Extra-Lightweight","Atlanta"
"13787","NOR","Silver",2008,"Taekwondo","Taekwondo Women's Heavyweight","Beijing"
"13788","EGY","Silver",1936,"Weightlifting","Weightlifting Men's Featherweight","Berlin"
"13789","CUB","Gold",2004,"Boxing","Boxing Men's Heavyweight","Athina"
"13790","URS","Gold",1980,"Judo","Judo Men's Half-Lightweight","Moskva"
"13791","URS","Bronze",1976,"Boxing","Boxing Men's Lightweight","Montreal"
"13792","URS","Gold",1956,"Wrestling","Wrestling Men's Flyweight, Greco-Roman","Melbourne"
"13793","ALG","Bronze",1992,"Boxing","Boxing Men's Featherweight","Barcelona"
"13794","ALG","Gold",1996,"Boxing","Boxing Men's Lightweight","Atlanta"
"13795","HUN","Silver",1924,"Athletics","Athletics Men's Pentathlon","Paris"
"13796","HUN","Silver",1908,"Athletics","Athletics Men's High Jump","London"
"13797","KOR","Bronze",1984,"Wrestling","Wrestling Men's Light-Flyweight, Freestyle","Los Angeles"
"13798","JPN","Gold",1936,"Athletics","Athletics Men's Marathon","Berlin"
"13799","KOR","Silver",2004,"Badminton","Badminton Men's Singles","Athina"
"13800","KOR","Gold",2008,"Taekwondo","Taekwondo Men's Featherweight","Beijing"
"13801","GER","Gold",1936,"Art Competitions","Art Competitions Mixed Literature, Lyric Works","Berlin"
"13802","KOR","Gold",2012,"Judo","Judo Men's Middleweight","London"
"13803","KOR","Bronze",2004,"Taekwondo","Taekwondo Men's Featherweight","Athina"
"13804","KOR","Silver",1956,"Boxing","Boxing Men's Bantamweight","Melbourne"
"13805","USA","Silver",2008,"Swimming","Swimming Women's 100 metres Breaststroke","Beijing"
"13806","USA","Gold",2008,"Swimming","Swimming Women's 200 metres Breaststroke","Beijing"
"13807","USA","Silver",2012,"Swimming","Swimming Women's 100 metres Breaststroke","London"
